Video,Subject
Faculty of Conceptual Orthopedics,Introduction and Orientation
How to Prepare (Dr. Apurv Mehra),Introduction and Orientation
"History and Examination of a Case of Spine (Prof. Dr. SM Tuli, Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra)",Clinical Examination
Clinical Examination of a Case of Spine (Prof. Dr. Sudhir Kumar and Dr. Harpreet Singh),Clinical Examination
In Clinic Approach to A Patient of Chronic Low Back Pain (Dr. Ram Chaddha and Dr. Jitesh Manghwani),Fundamental Concepts
Graceful Ageing Despite Osteoporosis (Dr. Ram Chaddha and Dr. Jitesh Manghwani),Regional Orthopedics
Examination of a Case of PIVD (Prof. Dr. Anil Dhal),Clinical Examination
Examination of a Case of SI Joints (Prof. Dr. Anil Dhal),Clinical Examination
Case of Disc Prolapse (Prof. Dr. Sudhir Kumar),Clinical Examination
"Koch's Spine (Dr. Apurv Mehra)",Regional Orthopedics
History and Examination of a Case of Spine (Prof. Dr. SM Tuli and Dr. Apurv Mehra),Clinical Examination
Spondylolisthesis (Dr. Jitesh Manghwani),Regional Orthopedics
Scoliosis (Dr. Jitesh Manghwani),Regional Orthopedics
Lumbar Disc Herniation (Dr. Jitesh Manghwani),Regional Orthopedics
Examination of a Case of Hip (Prof. Dr. Anil Dhal),Clinical Examination
History and Examination of a Case of Hip (Prof. Dr. Anil Dhal),Clinical Examination
Clinical Examination of Hip (Patient) (Dr. Apurv Mehra),Clinical Examination
Osteotomies Around the Hip,Fundamental Concepts
Fracture Neck Femur - Non Union (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),Clinical Examination
Avascular Necrosis of Hip (Prof. Dr. Sudhir Kumar & Dr. Harpreet Singh),Clinical Examination
Clinical Examination of Hip - Combined (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),Clinical Examination
History and Examination of a Case of Hip (Prof. Dr. SM Tuli and Dr. Apurv Mehra),Clinical Examination
Hip Case (Discussion) (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),Clinical Examination
"Clinical Examination of Case of TB Knee (Prof. Dr. SM Tuli, Dr. Apurv Mehra and Dr. Jitesh Manghwani)",Clinical Examination
History and Examination of a Case of Knee (Prof. VB Bhasin),Clinical Examination
Clinical Examination of Knee (Dr. Harpreet Singh and Dr. Apurv Mehra),Clinical Examination
Viva of Knee (Prof. Dr. Anil Dhal and Prof. Dr. VB Bhasin),Clinical Examination
Clinical Examination of Swollen Knee (Prof. Dr. Anil Dhal and Dr. Jitesh Manghwani),Clinical Examination
Knee Examination (Patellar dislocation) (Prof. VB Bhasin and Dr. Ashish Taneja),Clinical Examination
Clinical Examination of a Case of Knee (Prof. Dr. SM Tuli),Clinical Examination
Patellofemoral Instability (Dr. Ashish Taneja),Regional Orthopedics
Knee Deformities (Prof. Dr. VB Bhasin and Dr. Apurv Mehra),Regional Orthopedics
History of Ankle & Foot (Prof. Dr. Sudhir Kumar and Dr. Harpreet Singh),Clinical Examination
Examination of Ankle & Foot (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),Clinical Examination
Clinical Examination of Foot and Ankle (Prof. Dr. Sudhir Kumar),Clinical Examination
Short Case (Prof. Dr. Anil Dhal and Dr. Anuj Chawla),Clinical Examination
Clinical Examination of Foot (Prof. Dr. Anil Dhal and Dr. Apurv Mehra),Clinical Examination
Tendoachillis Tear (Dr. Apurv Mehra and Dr. Harpreet Singh),Clinical Examination
Clinical Examination of a Case of Charcots (Prof. Dr. SM Tuli and Dr. Apurv Mehra),Clinical Examination
Clinical Examination of a Case of Foot & Ankle (Prof. Dr. SM Tuli and Dr. Apurv Mehra),Clinical Examination
Clinical Examination of a Case of Toe Deformity (Prof. Dr. SM Tuli and Dr. Apurv Mehra),Clinical Examination
"Charcot's Knee (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra)",Fundamental Concepts
"Charcot's Joint (Dr. Apurv Mehra and Dr. Harpreet Singh)",Regional Orthopedics
Flat Foot Assessment and Management (Dr. Anuj Chawla),Regional Orthopedics
TA Tear Patient and Discussion (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),Clinical Examination
Foot and Ankle Examination (Dr. Anuj Chawla),Clinical Examination
Pes Cavus (Dr Anuj Chawla),Regional Orthopedics
Ankle Sprain (Dr. Anuj Chawla),Regional Orthopedics
Clinical Examination of a Case of Shoulder (Standing) (Prof. Dr. SM Tuli and Dr. Apurv Mehra),Clinical Examination
Clinical Examination of a Case of Shoulder (Sitting) (Prof. Dr. SM Tuli and Dr. Apurv Mehra),Clinical Examination
Summary of Clinical Examination of Shoulder (Dr. Apurv Mehra),Clinical Examination
History of a Case of Shoulder (Prof. Dr. Sudhir Kumar and Dr. Harpreet Singh),Clinical Examination
Neglected AC Joint Dislocation (Dr. Harpeet Singh),Clinical Examination
Clinical Examination of Shoulder (Dr. VB Bhasin and Dr. Ashish Taneja),Clinical Examination
Clinical Examination of Shoulder (Dr. Harpreet Singh),Clinical Examination
Clinical Examination of Shoulder (Prof. Dr. Sudhir Kumar & Dr. Harpreet Singh),Clinical Examination
History and Clinical Examination - External Impingement Syndrome Shoulder (Dr. Harpreet Singh),Clinical Examination
Anterior Instability of Shoulder (Dr. Harpreet Singh),Clinical Examination
Neglected Posterior Dislocation Shoulder (Dr. Harpreet Singh),Clinical Examination
Neglected Anterior Dislocation Shoulder (Dr. Harpeet Singh),Clinical Examination
History and Clinical Examination - Rotator Cuff Tear (Dr. Harpreet Singh),Clinical Examination
History and Clinical Examination - Adhesive Capsulitis (Dr. Harpreet Singh),Clinical Examination
Q and A - Shoulder (Prof. VB Bhasin and Dr. Anuj Chawla),Clinical Examination
Clinical Examination of a Case of Elbow (Prof. Dr. SM Tuli and Dr. Apurv Mehra),Clinical Examination
History and Clinical Examination of Elbow (Prof. Dr. Sudhir Kumar & Dr. Apurv Mehra),Clinical Examination
History and Clinical Examination of Elbow (Prof. Dr. Sudhir Kumar & Dr. Harpreet Singh),Clinical Examination
Neglected Elbow Dislocation (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),Clinical Examination
Cubitus Valgus (Dr. Apurv Mehra),Clinical Examination
Cubitus Varus (Dr. Apurv Mehra),Clinical Examination
Cubitus Varus Q and A (Dr. Apurv Mehra),Clinical Examination
Cubitis Varus (Patient Discussion) - (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),Clinical Examination
Clinical Examination of Elbow (Patient) (Prof. Dr. Sudhir Kumar and Dr. Harpreet Singh),Clinical Examination
"History and Clinical Examination of a Case of Wrist (Prof. Dr. Sudhir Kumar, Prof. Dr. Anil Dhal and Dr. Apurv Mehra)",Clinical Examination
"Clinical Examination of a Case of Wrist (Prof. Dr. Sudhir Kumar, Prof. Dr. Anil Dhal and Dr. Ashish Taneja)",Clinical Examination
Clinical Examination of Wrist (Patient) (Prof. Dr. Anil Dhal),Clinical Examination
Clinical Examination of a Case of Wrist & Hand (Prof. Dr. SM Tuli and Dr. Apurv Mehra),Clinical Examination
Tenosynovitis - Wrist (Prof. Dr. SM Tuli and Dr. Apurv Mehra),Regional Orthopedics
Malunited Distal End Radius Fracture (Dr. Apurv Mehra),Regional Orthopedics
Spina Ventosa (Prof. Dr. SM Tuli and Dr. Jitesh Manghwani),Regional Orthopedics
Scaphoid Fracture,Regional Orthopedics
Scaphoid - Delayed and Non - Union (Dr. Anil Dhal),Regional Orthopedics
Reconstruction of Soft Tissue Envelops (Prof. Dr. Anil Dhal),Trauma
History and Clinical Examination of Nerve Injury (Prof. Dr. Anil Dhal),Clinical Examination
Clinical Examination of Radial Nerve (Prof. Dr. Anil Dhal),Clinical Examination
Clinical Examination of Ulnar Nerve (Prof. Dr. Anil Dhal),Clinical Examination
Clinical Examination of Median Nerve (Prof. Dr. Anil Dhal),Clinical Examination
Clinical Examination of Wrist Drop (Prof. Dr. Anil Dhal and Dr. Jitesh Manghwani),Clinical Examination
Clinical Examination of Foot Drop (Prof. Dr. Anil Dhal and Dr. Jitesh Manghwani),Clinical Examination
Foot Drop - Questions and Answer (Prof. Dr. Anil Dhal and Dr. Jitesh Manghwani),Clinical Examination
Demonstration - Foot Drop Examination (Prof. Dr. Anil Dhal),Clinical Examination
Ulnar Nerve Injury (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),Clinical Examination
Brachial Plexus (Dr. Apurv Mehra and Prof. Dr. Sudhir Kumar),Clinical Examination
Carpal Tunnel Syndrome (Dr. Apurv Mehra),Neurology Nerves
CTEV (Dr. Apurv Mehra),Conceptual Connect LIVE Sessions
Perthes Disease (Prof. Dr. Sudhir Kumar & Dr. Harpreet Singh),Clinical Examination
Decision Making in Perthes Disease,Conceptual Connect LIVE Sessions
DDH Patient Discussion (Dr. Apurv Mehra),Clinical Examination
Congenital Muscular Torticollis (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),Pediatric Orthopedics
Anterolateral Bowing/Congenital Pseudarthrosis of the Tibia (Dr. Apurv Mehra),Conceptual Connect LIVE Sessions
Radial Club Hand (Dr. Apurv Mehra),Conceptual Connect LIVE Sessions
CVT (Dr. Faheem Kotekar),Pediatric Orthopedics
Congenital Limb Deficiency & PFFD (Dr. Faheem Kotekar),Pediatric Orthopedics
Congenital Pseudoarthrosis of Tibia (Dr. Faheem Kotekar),Pediatric Orthopedics
SCFE (Dr. Faheem Kotekar),Pediatric Orthopedics
Developmental Dysplasia of Hip (Prof. Dr. Sudhir Kumar and Dr. Harpreet Singh),Clinical Examination
Perthes Disease Patient Discussion (Dr. Apurv Mehra),Clinical Examination
CTEV Patient Demonstration (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),Clinical Examination
Pelvic Osteotomies (Prof. Dr. Gopa Kumar),Pediatric Orthopedics
Osteogenesis Imperfecta (Dr. Faheem Kotekar),Pediatric Orthopedics
Introduction (Dr. Shailesh Pai),Trauma
Fracture Healing (Dr. Shailesh Pai),Trauma
Soft Tissue Injury (Dr. Shailesh Pai),Trauma
External Fixators (Dr Shailesh Pai),Trauma
Proximal Humerus Fractures,Trauma
Fractures of Radial Head,Trauma
Hip Dislocation,Trauma
Proximal Tibial Fractures,Trauma
Polytrauma,Trauma
Femoral Head Fractures,Trauma
Fracture Neck Femur,Trauma
AO Classification (Dr. Shailesh Pai),Trauma
Principles of Nailing (Dr. Shailesh Pai),Trauma
Nitinol (Dr. Shailesh Pai),Trauma
AO Principles of Fracture Management (Dr. Shailesh Pai),Trauma
Surgical Approaches Intro (Dr. Shailesh Pai),Fundamental Concepts
Surgical Approach - Kocher Langenbeck,Trauma
Surgical Approach to Proximal Humerus (Dr Shailesh Pai),Trauma
Humerus Shaft Approach,Trauma
Surgical Approaches to Elbow,Trauma
Forearm Approaches,Trauma
Distal Femur Surgical Approaches,Trauma
Surgical Approaches - Hip,Trauma
Proximal Tibial Approaches,Trauma
Distal Tibia Approaches,Trauma
Modified Stoppa Approach,Trauma
Non - Union of Long Bone (Dr. Apurv Mehra),Deformity Correction and Ilizarov
Deformity Analysis (Dr. Faheem Kotekar),Deformity Correction and Ilizarov
Bone Graft and its Substitutes (Dr. Shailesh Pai),Deformity Correction and Ilizarov
Non - Union Patient Discussion (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),Clinical Examination
Chronic Osteomyelitis (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),General Orthopedics
Chronic OM Patient Discussion (Dr. Apurv Mehra),General Orthopedics
Tuberculosis - General Principles (Prof. Dr. SM Tuli and Dr. Apurv Mehra),General Orthopedics
Tuberculosis - Hip (Prof. Dr. SM Tuli and Dr. Apurv Mehra),General Orthopedics
Tuberculosis - Spine (Prof. Dr. SM Tuli and Dr. Apurv Mehra),General Orthopedics
Tuberculosis - Knee (Prof. Dr. SM Tuli and Dr. Apurv Mehra),General Orthopedics
National Recommendations for Osteoarticular TB (Dr. Harpreet Singh),General Orthopedics
Examination of Bone Tumors (Dr. Apurv Mehra and Dr. Vivek Verma),Clinical Examination
Evaluation of a Suspected Bone Neoplasm (Dr. Vivek Verma),Oncology
Biopsy (Dr. Vivek Verma),Oncology
Overview of Musculoskeletal Tumors (Dr. Vivek Verma and Dr. Apurv Mehra),Oncology
